Water_Absorption_%,Plasticizer,Polymer_1,Toughener_1,Colorant,Stabilizer_1,Flame_retardant_1,Antioxidant,Metal_powder_1,Metal_powder_2,Metal_powder_3,Antistatic,Polymer_2,Stabilizer_2,Toughener_2,Clarifier_1,Clarifier_2,Clarifier_3,Polymer_3,Polymer_4,UV_absorber_1,UV_absorber_2,Flame_retardant_2,Polymer_5,Stabilizer_3,Filler_1,Filler_2,Toughener_3,Filler_3
2.878117881,0.0186659256090997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1047751076259757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.062197098,0.0336767541047148,0.0,0.0,0.0,0.0,0.0105839468851885,0.0165734429314842,0.0,0.1787258552038995,0.0,0.0,0.0078190323554344,0.0,0.1019158554025097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996531142345276,0.8053931593973038,0.084926240583412,0.0,0.0,0.0,0.0
0.802354073,0.0,0.0341651929543766,0.0,0.0,0.0,0.0,0.0,0.3771477078847919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9512010678537962,0.6416356798727519,0.0,0.0,0.0,0.0,0.0
1.215792616,0.0,0.0068737296126279,0.0,0.0396030646928763,0.0,0.0,0.0411495149008916,0.6742679854080941,0.0,0.2321517886702565,0.0,0.1055939230709168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4969060508463562,0.2108593851222537,0.0,0.0,0.0,0.0
1.813523402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1961758356982985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4696587672095783,0.0,0.9588482792400356,0.6431815369914321,0.0,0.0,0.0,0.0,0.0
1.920893933,0.093127753000519,0.0,0.0,0.0,0.0,0.0103014282483375,0.0,0.0,0.0,0.0,0.0,0.0175434023872445,0.0,0.1375345904717141,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9889638639821176,0.4946751344293384,0.0,0.0,0.0,0.0,0.0
1.474830183,0.0,0.0669514691014073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9340123527570036,0.6381610410467405,0.0,0.0,0.0,0.0,0.0
2.60683388,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3837938178977377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.662617307,0.0,0.3573968378373224,0.0,0.5962780345090881,0.0,0.7005462123320468,0.0,0.9640715257560906,0.0,0.0782445906496933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99018244013096,0.0,0.0,0.0,0.0,0.0,0.5730462546504526,0.0,0.0,0.0,0.0
1.780772059,0.0,0.8307526391490424,0.0,0.0,0.0,0.6667256465246424,0.0768148358881303,0.0377285320397803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4260329905861847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.67196577,0.1398164964092647,0.4288982853368394,0.0,0.857799934682396,0.0,0.7204868910466476,0.3256418032634111,0.7385106238941574,0.0741050459576601,0.0,0.0,0.109414537856554,0.0,0.1065193473470883,0.0,0.0,0.0,0.0,0.4956993986795611,0.0,0.0,0.0,0.0,0.7431987709848781,0.0,0.0,0.0,0.0
2.208816771,0.0486633183703516,0.2799778625241645,0.0,1.0,0.0,0.7324880223341484,0.3436970419566769,1.0,0.0,0.0004566699289501,0.0,0.2790752285458936,0.1517985689794003,0.1194083949146386,0.0,0.0,0.0,0.0,0.500754482233685,0.0,0.0,0.0,0.0,0.835717696707202,0.0,0.0,0.0,0.0
2.211850806,0.0421385844140602,0.3295794922988113,0.0,0.8196153088987839,0.0,0.7057466788661347,0.3207934851411533,0.975381369916824,0.0,0.0359443340391925,0.0,0.0114966264627177,0.0,0.0048427774716193,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7183548966257612,0.0,0.0,0.0,0.0
1.785614874,0.0030339316301685,0.5326042315664858,0.0,0.3334520581303916,0.0,0.6766372334527253,0.259065094984759,0.6841463577071719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4770593064863709,0.0,0.0,0.0,0.0,0.4020449034741888,0.0,0.0,0.0,0.0
1.45957184,0.0,0.4543103641523386,0.0,0.0,0.0,0.6372870927456324,0.0,0.9307164549179554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3896578531685584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.56215601,0.0,0.3295994569563262,0.0,0.339432487883812,0.0,0.6829432975141093,0.2598245049278567,0.9713711523745218,0.0,0.0,0.0,0.0948172456212326,0.0,0.0,0.0,0.0,0.0,0.0,0.9829299355379054,0.0,0.0,0.0,0.0,0.4059359209284247,0.0,0.0,0.0,0.0
2.110693518,0.0796894594726011,0.3469562283547776,0.0,0.8729711999435583,0.0,0.7013394554122674,0.0,0.9448754383446336,0.0,0.0,0.0525844649741912,0.0069648320566762,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7530695763229497,0.0,0.0,0.0,0.0
3.003674102,0.3544056690329852,0.7146386328074473,0.98809420041553,0.2864213918566927,0.8013615999999999,0.8136755167677703,0.3253358214508168,0.0014782203474025,0.0,0.3464154905154133,0.0291163752891404,0.0872297236554011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.968463442,0.0800594321758805,0.8337764318963268,0.7656114370535148,0.0,0.0,0.7298010273648773,0.0080874774947505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.961537769,0.464519800125887,0.6232847246570833,1.0,0.4201295996850189,0.8953622,0.8770989867987224,0.3423128092778627,0.0402014228592934,0.0,0.0408829512901468,0.0,0.1279808863484351,0.1378457554207341,0.1528144875400757,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.832883267,0.3309850904259328,0.3970376003156476,0.0,0.0,0.0,0.6300237241835371,0.0,0.9640750252087102,0.0,0.0,0.0,0.0,0.0,0.3598228638010571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.513752338,0.4898863065960175,0.2991801397545152,0.0,0.4754381912258202,0.9342456,0.6937033311153818,0.3493353284700851,0.9622623350095216,0.0,0.4448921875582076,0.0,0.0181695157475205,0.0030346922145031,0.7450397317884897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.20979741,0.6095242496044716,0.1890080882298202,0.0,0.3731950891175637,0.8623662000000001,0.9500689163625672,0.3363535145755128,0.9766751743627332,0.0,0.0,0.0,0.1118791390174072,0.0,0.880641526461979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
